compra,tipo,venta
"54,00",Dólar Banco Nación,"57,00"
"58,50",Dólar Blue,"59,00"
"65,74",Dólar cdo c/liqui,"67,67"
compra,tipo,venta
"54,00",Dólar Banco Nación,"57,00"
"58,50",Dólar Blue,"59,00"
"65,74",Dólar cdo c/liqui,"67,67"
